Event_Type,Time,Source_Node,Destination_Node,Protocol,Packet_Size,Flags,Flow_ID,Source_Address,Destination_Address,Sequence_Number,Packet_ID
+,1.13416,1,0,ack,40,-------,0,1.0,0.0,11,32
-,1.13416,1,0,ack,40,-------,0,1.0,0.0,11,32
r,1.13616,1,0,ack,40,-------,0,1.0,0.0,10,29
+,1.13616,0,1,tcp,1040,-------,0,0.0,1.0,21,33
+,1.13616,0,1,tcp,1040,-------,0,0.0,1.0,22,34
-,1.1408,0,1,tcp,1040,-------,0,0.0,1.0,14,22
r,1.14248,0,1,tcp,1040,-------,0,0.0,1.0,12,19
+,1.14248,1,0,ack,40,-------,0,1.0,0.0,12,35
-,1.14248,1,0,ack,40,-------,0,1.0,0.0,12,35
r,1.14448,1,0,ack,40,-------,0,1.0,0.0,11,32
+,1.14448,0,1,tcp,1040,-------,0,0.0,1.0,23,36
+,1.14448,0,1,tcp,1040,-------,0,0.0,1.0,24,37
-,1.14912,0,1,tcp,1040,-------,0,0.0,1.0,15,24
r,1.1508,0,1,tcp,1040,-------,0,0.0,1.0,13,21
+,1.1508,1,0,ack,40,-------,0,1.0,0.0,13,38
-,1.1508,1,0,ack,40,-------,0,1.0,0.0,13,38
r,1.1528,1,0,ack,40,-------,0,1.0,0.0,12,35
+,1.1528,0,1,tcp,1040,-------,0,0.0,1.0,25,39
+,1.1528,0,1,tcp,1040,-------,0,0.0,1.0,26,40
-,1.15744,0,1,tcp,1040,-------,0,0.0,1.0,16,25
r,1.15912,0,1,tcp,1040,-------,0,0.0,1.0,14,22
+,1.15912,1,0,ack,40,-------,0,1.0,0.0,14,41
-,1.15912,1,0,ack,40,-------,0,1.0,0.0,14,41
r,1.16112,1,0,ack,40,-------,0,1.0,0.0,13,38
+,1.16112,0,1,tcp,1040,-------,0,0.0,1.0,27,42
+,1.16112,0,1,tcp,1040,-------,0,0.0,1.0,28,43
-,1.16576,0,1,tcp,1040,-------,0,0.0,1.0,17,27
r,1.16744,0,1,tcp,1040,-------,0,0.0,1.0,15,24
+,1.16744,1,0,ack,40,-------,0,1.0,0.0,15,44
-,1.16744,1,0,ack,40,-------,0,1.0,0.0,15,44
r,1.16944,1,0,ack,40,-------,0,1.0,0.0,14,41
+,1.16944,0,1,tcp,1040,-------,0,0.0,1.0,29,45
+,1.16944,0,1,tcp,1040,-------,0,0.0,1.0,30,46
-,1.17408,0,1,tcp,1040,-------,0,0.0,1.0,18,28
r,1.17576,0,1,tcp,1040,-------,0,0.0,1.0,16,25
+,1.17576,1,0,ack,40,-------,0,1.0,0.0,16,47
-,1.17576,1,0,ack,40,-------,0,1.0,0.0,16,47
r,1.17776,1,0,ack,40,-------,0,1.0,0.0,15,44
+,1.17776,0,1,tcp,1040,-------,0,0.0,1.0,31,48
+,1.17776,0,1,tcp,1040,-------,0,0.0,1.0,32,49
-,1.1824,0,1,tcp,1040,-------,0,0.0,1.0,19,30
r,1.18408,0,1,tcp,1040,-------,0,0.0,1.0,17,27
+,1.18408,1,0,ack,40,-------,0,1.0,0.0,17,50
-,1.18408,1,0,ack,40,-------,0,1.0,0.0,17,50
r,1.18608,1,0,ack,40,-------,0,1.0,0.0,16,47
+,1.18608,0,1,tcp,1040,-------,0,0.0,1.0,33,51
