Event_Type,Time,Source_Node,Destination_Node,Protocol,Packet_Size,Flags,Flow_ID,Source_Address,Destination_Address,Sequence_Number,Packet_ID
-,1.56512,0,1,tcp,1040,-------,0,0.0,1.0,65,112
r,1.5668,0,1,tcp,1040,-------,0,0.0,1.0,63,108
+,1.5668,1,0,ack,40,-------,0,1.0,0.0,63,145
-,1.5668,1,0,ack,40,-------,0,1.0,0.0,63,145
r,1.5688,1,0,ack,40,-------,0,1.0,0.0,62,143
+,1.5688,0,1,tcp,1040,-------,0,0.0,1.0,82,146
-,1.57344,0,1,tcp,1040,-------,0,0.0,1.0,66,114
r,1.57512,0,1,tcp,1040,-------,0,0.0,1.0,64,110
+,1.57512,1,0,ack,40,-------,0,1.0,0.0,64,147
-,1.57512,1,0,ack,40,-------,0,1.0,0.0,64,147
r,1.57712,1,0,ack,40,-------,0,1.0,0.0,63,145
+,1.57712,0,1,tcp,1040,-------,0,0.0,1.0,83,148
-,1.58176,0,1,tcp,1040,-------,0,0.0,1.0,67,116
r,1.58344,0,1,tcp,1040,-------,0,0.0,1.0,65,112
+,1.58344,1,0,ack,40,-------,0,1.0,0.0,65,149
-,1.58344,1,0,ack,40,-------,0,1.0,0.0,65,149
r,1.58544,1,0,ack,40,-------,0,1.0,0.0,64,147
+,1.58544,0,1,tcp,1040,-------,0,0.0,1.0,84,150
-,1.59008,0,1,tcp,1040,-------,0,0.0,1.0,68,118
r,1.59176,0,1,tcp,1040,-------,0,0.0,1.0,66,114
+,1.59176,1,0,ack,40,-------,0,1.0,0.0,66,151
-,1.59176,1,0,ack,40,-------,0,1.0,0.0,66,151
r,1.59376,1,0,ack,40,-------,0,1.0,0.0,65,149
+,1.59376,0,1,tcp,1040,-------,0,0.0,1.0,85,152
-,1.5984,0,1,tcp,1040,-------,0,0.0,1.0,69,120
r,1.60008,0,1,tcp,1040,-------,0,0.0,1.0,67,116
+,1.60008,1,0,ack,40,-------,0,1.0,0.0,67,153
-,1.60008,1,0,ack,40,-------,0,1.0,0.0,67,153
r,1.60208,1,0,ack,40,-------,0,1.0,0.0,66,151
+,1.60208,0,1,tcp,1040,-------,0,0.0,1.0,86,154
-,1.60672,0,1,tcp,1040,-------,0,0.0,1.0,70,122
r,1.6084,0,1,tcp,1040,-------,0,0.0,1.0,68,118
+,1.6084,1,0,ack,40,-------,0,1.0,0.0,68,155
-,1.6084,1,0,ack,40,-------,0,1.0,0.0,68,155
r,1.6104,1,0,ack,40,-------,0,1.0,0.0,67,153
+,1.6104,0,1,tcp,1040,-------,0,0.0,1.0,87,156
-,1.61504,0,1,tcp,1040,-------,0,0.0,1.0,71,124
r,1.61672,0,1,tcp,1040,-------,0,0.0,1.0,69,120
+,1.61672,1,0,ack,40,-------,0,1.0,0.0,69,157
-,1.61672,1,0,ack,40,-------,0,1.0,0.0,69,157
r,1.61872,1,0,ack,40,-------,0,1.0,0.0,68,155
+,1.61872,0,1,tcp,1040,-------,0,0.0,1.0,88,158
-,1.62336,0,1,tcp,1040,-------,0,0.0,1.0,72,126
r,1.62504,0,1,tcp,1040,-------,0,0.0,1.0,70,122
+,1.62504,1,0,ack,40,-------,0,1.0,0.0,70,159
-,1.62504,1,0,ack,40,-------,0,1.0,0.0,70,159
r,1.62704,1,0,ack,40,-------,0,1.0,0.0,69,157
+,1.62704,0,1,tcp,1040,-------,0,0.0,1.0,89,160
-,1.63168,0,1,tcp,1040,-------,0,0.0,1.0,73,128
r,1.63336,0,1,tcp,1040,-------,0,0.0,1.0,71,124
+,1.63336,1,0,ack,40,-------,0,1.0,0.0,71,161
-,1.63336,1,0,ack,40,-------,0,1.0,0.0,71,161
r,1.63536,1,0,ack,40,-------,0,1.0,0.0,70,159
+,1.63536,0,1,tcp,1040,-------,0,0.0,1.0,90,162
-,1.64,0,1,tcp,1040,-------,0,0.0,1.0,74,130
r,1.64168,0,1,tcp,1040,-------,0,0.0,1.0,72,126
+,1.64168,1,0,ack,40,-------,0,1.0,0.0,72,163
-,1.64168,1,0,ack,40,-------,0,1.0,0.0,72,163
r,1.64368,1,0,ack,40,-------,0,1.0,0.0,71,161
+,1.64368,0,1,tcp,1040,-------,0,0.0,1.0,91,164
-,1.64832,0,1,tcp,1040,-------,0,0.0,1.0,75,132
r,1.65,0,1,tcp,1040,-------,0,0.0,1.0,73,128
+,1.65,1,0,ack,40,-------,0,1.0,0.0,73,165
-,1.65,1,0,ack,40,-------,0,1.0,0.0,73,165
r,1.652,1,0,ack,40,-------,0,1.0,0.0,72,163
+,1.652,0,1,tcp,1040,-------,0,0.0,1.0,92,166
-,1.65664,0,1,tcp,1040,-------,0,0.0,1.0,76,134
r,1.65832,0,1,tcp,1040,-------,0,0.0,1.0,74,130
+,1.65832,1,0,ack,40,-------,0,1.0,0.0,74,167
-,1.65832,1,0,ack,40,-------,0,1.0,0.0,74,167
r,1.66032,1,0,ack,40,-------,0,1.0,0.0,73,165
+,1.66032,0,1,tcp,1040,-------,0,0.0,1.0,93,168
-,1.66496,0,1,tcp,1040,-------,0,0.0,1.0,77,136
r,1.66664,0,1,tcp,1040,-------,0,0.0,1.0,75,132
+,1.66664,1,0,ack,40,-------,0,1.0,0.0,75,169
-,1.66664,1,0,ack,40,-------,0,1.0,0.0,75,169
r,1.66864,1,0,ack,40,-------,0,1.0,0.0,74,167
+,1.66864,0,1,tcp,1040,-------,0,0.0,1.0,94,170
-,1.67328,0,1,tcp,1040,-------,0,0.0,1.0,78,138
r,1.67496,0,1,tcp,1040,-------,0,0.0,1.0,76,134
+,1.67496,1,0,ack,40,-------,0,1.0,0.0,76,171
-,1.67496,1,0,ack,40,-------,0,1.0,0.0,76,171
r,1.67696,1,0,ack,40,-------,0,1.0,0.0,75,169
+,1.67696,0,1,tcp,1040,-------,0,0.0,1.0,95,172
-,1.6816,0,1,tcp,1040,-------,0,0.0,1.0,79,140
r,1.68328,0,1,tcp,1040,-------,0,0.0,1.0,77,136
+,1.68328,1,0,ack,40,-------,0,1.0,0.0,77,173
-,1.68328,1,0,ack,40,-------,0,1.0,0.0,77,173
r,1.68528,1,0,ack,40,-------,0,1.0,0.0,76,171
+,1.68528,0,1,tcp,1040,-------,0,0.0,1.0,96,174
-,1.68992,0,1,tcp,1040,-------,0,0.0,1.0,80,142
r,1.6916,0,1,tcp,1040,-------,0,0.0,1.0,78,138
+,1.6916,1,0,ack,40,-------,0,1.0,0.0,78,175
-,1.6916,1,0,ack,40,-------,0,1.0,0.0,78,175
r,1.6936,1,0,ack,40,-------,0,1.0,0.0,77,173
+,1.6936,0,1,tcp,1040,-------,0,0.0,1.0,97,176
-,1.69824,0,1,tcp,1040,-------,0,0.0,1.0,81,144
r,1.69992,0,1,tcp,1040,-------,0,0.0,1.0,79,140
+,1.69992,1,0,ack,40,-------,0,1.0,0.0,79,177
-,1.69992,1,0,ack,40,-------,0,1.0,0.0,79,177
r,1.70192,1,0,ack,40,-------,0,1.0,0.0,78,175
+,1.70192,0,1,tcp,1040,-------,0,0.0,1.0,98,178
-,1.70656,0,1,tcp,1040,-------,0,0.0,1.0,82,146
r,1.70824,0,1,tcp,1040,-------,0,0.0,1.0,80,142
+,1.70824,1,0,ack,40,-------,0,1.0,0.0,80,179
-,1.70824,1,0,ack,40,-------,0,1.0,0.0,80,179
r,1.71024,1,0,ack,40,-------,0,1.0,0.0,79,177
+,1.71024,0,1,tcp,1040,-------,0,0.0,1.0,99,180
-,1.71488,0,1,tcp,1040,-------,0,0.0,1.0,83,148
r,1.71656,0,1,tcp,1040,-------,0,0.0,1.0,81,144
+,1.71656,1,0,ack,40,-------,0,1.0,0.0,81,181
-,1.71656,1,0,ack,40,-------,0,1.0,0.0,81,181
r,1.71856,1,0,ack,40,-------,0,1.0,0.0,80,179
+,1.71856,0,1,tcp,1040,-------,0,0.0,1.0,100,182
-,1.7232,0,1,tcp,1040,-------,0,0.0,1.0,84,150
r,1.72488,0,1,tcp,1040,-------,0,0.0,1.0,82,146
+,1.72488,1,0,ack,40,-------,0,1.0,0.0,82,183
-,1.72488,1,0,ack,40,-------,0,1.0,0.0,82,183
r,1.72688,1,0,ack,40,-------,0,1.0,0.0,81,181
+,1.72688,0,1,tcp,1040,-------,0,0.0,1.0,101,184
-,1.73152,0,1,tcp,1040,-------,0,0.0,1.0,85,152
r,1.7332,0,1,tcp,1040,-------,0,0.0,1.0,83,148
+,1.7332,1,0,ack,40,-------,0,1.0,0.0,83,185
-,1.7332,1,0,ack,40,-------,0,1.0,0.0,83,185
r,1.7352,1,0,ack,40,-------,0,1.0,0.0,82,183
+,1.7352,0,1,tcp,1040,-------,0,0.0,1.0,102,186
-,1.73984,0,1,tcp,1040,-------,0,0.0,1.0,86,154
r,1.74152,0,1,tcp,1040,-------,0,0.0,1.0,84,150
+,1.74152,1,0,ack,40,-------,0,1.0,0.0,84,187
-,1.74152,1,0,ack,40,-------,0,1.0,0.0,84,187
r,1.74352,1,0,ack,40,-------,0,1.0,0.0,83,185
+,1.74352,0,1,tcp,1040,-------,0,0.0,1.0,103,188
-,1.74816,0,1,tcp,1040,-------,0,0.0,1.0,87,156
r,1.74984,0,1,tcp,1040,-------,0,0.0,1.0,85,152
+,1.74984,1,0,ack,40,-------,0,1.0,0.0,85,189
-,1.74984,1,0,ack,40,-------,0,1.0,0.0,85,189
r,1.75184,1,0,ack,40,-------,0,1.0,0.0,84,187
+,1.75184,0,1,tcp,1040,-------,0,0.0,1.0,104,190
-,1.75648,0,1,tcp,1040,-------,0,0.0,1.0,88,158
r,1.75816,0,1,tcp,1040,-------,0,0.0,1.0,86,154
+,1.75816,1,0,ack,40,-------,0,1.0,0.0,86,191
-,1.75816,1,0,ack,40,-------,0,1.0,0.0,86,191
r,1.76016,1,0,ack,40,-------,0,1.0,0.0,85,189
+,1.76016,0,1,tcp,1040,-------,0,0.0,1.0,105,192
-,1.7648,0,1,tcp,1040,-------,0,0.0,1.0,89,160
r,1.76648,0,1,tcp,1040,-------,0,0.0,1.0,87,156
+,1.76648,1,0,ack,40,-------,0,1.0,0.0,87,193
-,1.76648,1,0,ack,40,-------,0,1.0,0.0,87,193
r,1.76848,1,0,ack,40,-------,0,1.0,0.0,86,191
+,1.76848,0,1,tcp,1040,-------,0,0.0,1.0,106,194
-,1.77312,0,1,tcp,1040,-------,0,0.0,1.0,90,162
r,1.7748,0,1,tcp,1040,-------,0,0.0,1.0,88,158
+,1.7748,1,0,ack,40,-------,0,1.0,0.0,88,195
-,1.7748,1,0,ack,40,-------,0,1.0,0.0,88,195
r,1.7768,1,0,ack,40,-------,0,1.0,0.0,87,193
+,1.7768,0,1,tcp,1040,-------,0,0.0,1.0,107,196
-,1.78144,0,1,tcp,1040,-------,0,0.0,1.0,91,164
r,1.78312,0,1,tcp,1040,-------,0,0.0,1.0,89,160
+,1.78312,1,0,ack,40,-------,0,1.0,0.0,89,197
-,1.78312,1,0,ack,40,-------,0,1.0,0.0,89,197
r,1.78512,1,0,ack,40,-------,0,1.0,0.0,88,195
+,1.78512,0,1,tcp,1040,-------,0,0.0,1.0,108,198
-,1.78976,0,1,tcp,1040,-------,0,0.0,1.0,92,166
r,1.79144,0,1,tcp,1040,-------,0,0.0,1.0,90,162
+,1.79144,1,0,ack,40,-------,0,1.0,0.0,90,199
-,1.79144,1,0,ack,40,-------,0,1.0,0.0,90,199
r,1.79344,1,0,ack,40,-------,0,1.0,0.0,89,197
+,1.79344,0,1,tcp,1040,-------,0,0.0,1.0,109,200
-,1.79808,0,1,tcp,1040,-------,0,0.0,1.0,93,168
r,1.79976,0,1,tcp,1040,-------,0,0.0,1.0,91,164
+,1.79976,1,0,ack,40,-------,0,1.0,0.0,91,201
-,1.79976,1,0,ack,40,-------,0,1.0,0.0,91,201
r,1.80176,1,0,ack,40,-------,0,1.0,0.0,90,199
+,1.80176,0,1,tcp,1040,-------,0,0.0,1.0,110,202
-,1.8064,0,1,tcp,1040,-------,0,0.0,1.0,94,170
r,1.80808,0,1,tcp,1040,-------,0,0.0,1.0,92,166
+,1.80808,1,0,ack,40,-------,0,1.0,0.0,92,203
-,1.80808,1,0,ack,40,-------,0,1.0,0.0,92,203
r,1.81008,1,0,ack,40,-------,0,1.0,0.0,91,201
+,1.81008,0,1,tcp,1040,-------,0,0.0,1.0,111,204
-,1.81472,0,1,tcp,1040,-------,0,0.0,1.0,95,172
r,1.8164,0,1,tcp,1040,-------,0,0.0,1.0,93,168
+,1.8164,1,0,ack,40,-------,0,1.0,0.0,93,205
-,1.8164,1,0,ack,40,-------,0,1.0,0.0,93,205
r,1.8184,1,0,ack,40,-------,0,1.0,0.0,92,203
+,1.8184,0,1,tcp,1040,-------,0,0.0,1.0,112,206
-,1.82304,0,1,tcp,1040,-------,0,0.0,1.0,96,174
r,1.82472,0,1,tcp,1040,-------,0,0.0,1.0,94,170
+,1.82472,1,0,ack,40,-------,0,1.0,0.0,94,207
-,1.82472,1,0,ack,40,-------,0,1.0,0.0,94,207
r,1.82672,1,0,ack,40,-------,0,1.0,0.0,93,205
+,1.82672,0,1,tcp,1040,-------,0,0.0,1.0,113,208
-,1.83136,0,1,tcp,1040,-------,0,0.0,1.0,97,176
r,1.83304,0,1,tcp,1040,-------,0,0.0,1.0,95,172
+,1.83304,1,0,ack,40,-------,0,1.0,0.0,95,209
-,1.83304,1,0,ack,40,-------,0,1.0,0.0,95,209
r,1.83504,1,0,ack,40,-------,0,1.0,0.0,94,207
+,1.83504,0,1,tcp,1040,-------,0,0.0,1.0,114,210
-,1.83968,0,1,tcp,1040,-------,0,0.0,1.0,98,178
r,1.84136,0,1,tcp,1040,-------,0,0.0,1.0,96,174
+,1.84136,1,0,ack,40,-------,0,1.0,0.0,96,211
-,1.84136,1,0,ack,40,-------,0,1.0,0.0,96,211
r,1.84336,1,0,ack,40,-------,0,1.0,0.0,95,209
+,1.84336,0,1,tcp,1040,-------,0,0.0,1.0,115,212
-,1.848,0,1,tcp,1040,-------,0,0.0,1.0,99,180
r,1.84968,0,1,tcp,1040,-------,0,0.0,1.0,97,176
+,1.84968,1,0,ack,40,-------,0,1.0,0.0,97,213
-,1.84968,1,0,ack,40,-------,0,1.0,0.0,97,213
r,1.85168,1,0,ack,40,-------,0,1.0,0.0,96,211
+,1.85168,0,1,tcp,1040,-------,0,0.0,1.0,116,214
-,1.85632,0,1,tcp,1040,-------,0,0.0,1.0,100,182
r,1.858,0,1,tcp,1040,-------,0,0.0,1.0,98,178
+,1.858,1,0,ack,40,-------,0,1.0,0.0,98,215
-,1.858,1,0,ack,40,-------,0,1.0,0.0,98,215
r,1.86,1,0,ack,40,-------,0,1.0,0.0,97,213
+,1.86,0,1,tcp,1040,-------,0,0.0,1.0,117,216
-,1.86464,0,1,tcp,1040,-------,0,0.0,1.0,101,184
r,1.86632,0,1,tcp,1040,-------,0,0.0,1.0,99,180
+,1.86632,1,0,ack,40,-------,0,1.0,0.0,99,217
-,1.86632,1,0,ack,40,-------,0,1.0,0.0,99,217
r,1.86832,1,0,ack,40,-------,0,1.0,0.0,98,215
+,1.86832,0,1,tcp,1040,-------,0,0.0,1.0,118,218
-,1.87296,0,1,tcp,1040,-------,0,0.0,1.0,102,186
r,1.87464,0,1,tcp,1040,-------,0,0.0,1.0,100,182
+,1.87464,1,0,ack,40,-------,0,1.0,0.0,100,219
-,1.87464,1,0,ack,40,-------,0,1.0,0.0,100,219
r,1.87664,1,0,ack,40,-------,0,1.0,0.0,99,217
+,1.87664,0,1,tcp,1040,-------,0,0.0,1.0,119,220
-,1.88128,0,1,tcp,1040,-------,0,0.0,1.0,103,188
r,1.88296,0,1,tcp,1040,-------,0,0.0,1.0,101,184
+,1.88296,1,0,ack,40,-------,0,1.0,0.0,101,221
-,1.88296,1,0,ack,40,-------,0,1.0,0.0,101,221
r,1.88496,1,0,ack,40,-------,0,1.0,0.0,100,219
+,1.88496,0,1,tcp,1040,-------,0,0.0,1.0,120,222
-,1.8896,0,1,tcp,1040,-------,0,0.0,1.0,104,190
r,1.89128,0,1,tcp,1040,-------,0,0.0,1.0,102,186
+,1.89128,1,0,ack,40,-------,0,1.0,0.0,102,223
-,1.89128,1,0,ack,40,-------,0,1.0,0.0,102,223
r,1.89328,1,0,ack,40,-------,0,1.0,0.0,101,221
+,1.89328,0,1,tcp,1040,-------,0,0.0,1.0,121,224
-,1.89792,0,1,tcp,1040,-------,0,0.0,1.0,105,192
r,1.8996,0,1,tcp,1040,-------,0,0.0,1.0,103,188
+,1.8996,1,0,ack,40,-------,0,1.0,0.0,103,225
-,1.8996,1,0,ack,40,-------,0,1.0,0.0,103,225
r,1.9016,1,0,ack,40,-------,0,1.0,0.0,102,223
+,1.9016,0,1,tcp,1040,-------,0,0.0,1.0,122,226
-,1.90624,0,1,tcp,1040,-------,0,0.0,1.0,106,194
r,1.90792,0,1,tcp,1040,-------,0,0.0,1.0,104,190
+,1.90792,1,0,ack,40,-------,0,1.0,0.0,104,227
-,1.90792,1,0,ack,40,-------,0,1.0,0.0,104,227
r,1.90992,1,0,ack,40,-------,0,1.0,0.0,103,225
+,1.90992,0,1,tcp,1040,-------,0,0.0,1.0,123,228
-,1.91456,0,1,tcp,1040,-------,0,0.0,1.0,107,196
r,1.91624,0,1,tcp,1040,-------,0,0.0,1.0,105,192
+,1.91624,1,0,ack,40,-------,0,1.0,0.0,105,229
-,1.91624,1,0,ack,40,-------,0,1.0,0.0,105,229
r,1.91824,1,0,ack,40,-------,0,1.0,0.0,104,227
+,1.91824,0,1,tcp,1040,-------,0,0.0,1.0,124,230
-,1.92288,0,1,tcp,1040,-------,0,0.0,1.0,108,198
r,1.92456,0,1,tcp,1040,-------,0,0.0,1.0,106,194
+,1.92456,1,0,ack,40,-------,0,1.0,0.0,106,231
-,1.92456,1,0,ack,40,-------,0,1.0,0.0,106,231
r,1.92656,1,0,ack,40,-------,0,1.0,0.0,105,229
+,1.92656,0,1,tcp,1040,-------,0,0.0,1.0,125,232
-,1.9312,0,1,tcp,1040,-------,0,0.0,1.0,109,200
r,1.93288,0,1,tcp,1040,-------,0,0.0,1.0,107,196
+,1.93288,1,0,ack,40,-------,0,1.0,0.0,107,233
-,1.93288,1,0,ack,40,-------,0,1.0,0.0,107,233
r,1.93488,1,0,ack,40,-------,0,1.0,0.0,106,231
+,1.93488,0,1,tcp,1040,-------,0,0.0,1.0,126,234
-,1.93952,0,1,tcp,1040,-------,0,0.0,1.0,110,202
r,1.9412,0,1,tcp,1040,-------,0,0.0,1.0,108,198
+,1.9412,1,0,ack,40,-------,0,1.0,0.0,108,235
-,1.9412,1,0,ack,40,-------,0,1.0,0.0,108,235
r,1.9432,1,0,ack,40,-------,0,1.0,0.0,107,233
+,1.9432,0,1,tcp,1040,-------,0,0.0,1.0,127,236
-,1.94784,0,1,tcp,1040,-------,0,0.0,1.0,111,204
r,1.94952,0,1,tcp,1040,-------,0,0.0,1.0,109,200
+,1.94952,1,0,ack,40,-------,0,1.0,0.0,109,237
-,1.94952,1,0,ack,40,-------,0,1.0,0.0,109,237
r,1.95152,1,0,ack,40,-------,0,1.0,0.0,108,235
+,1.95152,0,1,tcp,1040,-------,0,0.0,1.0,128,238
-,1.95616,0,1,tcp,1040,-------,0,0.0,1.0,112,206
r,1.95784,0,1,tcp,1040,-------,0,0.0,1.0,110,202
+,1.95784,1,0,ack,40,-------,0,1.0,0.0,110,239
-,1.95784,1,0,ack,40,-------,0,1.0,0.0,110,239
r,1.95984,1,0,ack,40,-------,0,1.0,0.0,109,237
+,1.95984,0,1,tcp,1040,-------,0,0.0,1.0,129,240
-,1.96448,0,1,tcp,1040,-------,0,0.0,1.0,113,208
r,1.96616,0,1,tcp,1040,-------,0,0.0,1.0,111,204
+,1.96616,1,0,ack,40,-------,0,1.0,0.0,111,241
-,1.96616,1,0,ack,40,-------,0,1.0,0.0,111,241
r,1.96816,1,0,ack,40,-------,0,1.0,0.0,110,239
+,1.96816,0,1,tcp,1040,-------,0,0.0,1.0,130,242
-,1.9728,0,1,tcp,1040,-------,0,0.0,1.0,114,210
r,1.97448,0,1,tcp,1040,-------,0,0.0,1.0,112,206
+,1.97448,1,0,ack,40,-------,0,1.0,0.0,112,243
-,1.97448,1,0,ack,40,-------,0,1.0,0.0,112,243
r,1.97648,1,0,ack,40,-------,0,1.0,0.0,111,241
+,1.97648,0,1,tcp,1040,-------,0,0.0,1.0,131,244
-,1.98112,0,1,tcp,1040,-------,0,0.0,1.0,115,212
r,1.9828,0,1,tcp,1040,-------,0,0.0,1.0,113,208
+,1.9828,1,0,ack,40,-------,0,1.0,0.0,113,245
-,1.9828,1,0,ack,40,-------,0,1.0,0.0,113,245
r,1.9848,1,0,ack,40,-------,0,1.0,0.0,112,243
+,1.9848,0,1,tcp,1040,-------,0,0.0,1.0,132,246
-,1.98944,0,1,tcp,1040,-------,0,0.0,1.0,116,214
r,1.99112,0,1,tcp,1040,-------,0,0.0,1.0,114,210
+,1.99112,1,0,ack,40,-------,0,1.0,0.0,114,247
-,1.99112,1,0,ack,40,-------,0,1.0,0.0,114,247
r,1.99312,1,0,ack,40,-------,0,1.0,0.0,113,245
+,1.99312,0,1,tcp,1040,-------,0,0.0,1.0,133,248
-,1.99776,0,1,tcp,1040,-------,0,0.0,1.0,117,216
r,1.99944,0,1,tcp,1040,-------,0,0.0,1.0,115,212
+,1.99944,1,0,ack,40,-------,0,1.0,0.0,115,249
-,1.99944,1,0,ack,40,-------,0,1.0,0.0,115,249
r,2.00144,1,0,ack,40,-------,0,1.0,0.0,114,247
+,2.00144,0,1,tcp,1040,-------,0,0.0,1.0,134,250
-,2.00608,0,1,tcp,1040,-------,0,0.0,1.0,118,218
r,2.00776,0,1,tcp,1040,-------,0,0.0,1.0,116,214
+,2.00776,1,0,ack,40,-------,0,1.0,0.0,116,251
-,2.00776,1,0,ack,40,-------,0,1.0,0.0,116,251
r,2.00976,1,0,ack,40,-------,0,1.0,0.0,115,249
+,2.00976,0,1,tcp,1040,-------,0,0.0,1.0,135,252
-,2.0144,0,1,tcp,1040,-------,0,0.0,1.0,119,220
r,2.01608,0,1,tcp,1040,-------,0,0.0,1.0,117,216
+,2.01608,1,0,ack,40,-------,0,1.0,0.0,117,253
-,2.01608,1,0,ack,40,-------,0,1.0,0.0,117,253
r,2.01808,1,0,ack,40,-------,0,1.0,0.0,116,251
+,2.01808,0,1,tcp,1040,-------,0,0.0,1.0,136,254
-,2.02272,0,1,tcp,1040,-------,0,0.0,1.0,120,222
r,2.0244,0,1,tcp,1040,-------,0,0.0,1.0,118,218
+,2.0244,1,0,ack,40,-------,0,1.0,0.0,118,255
-,2.0244,1,0,ack,40,-------,0,1.0,0.0,118,255
r,2.0264,1,0,ack,40,-------,0,1.0,0.0,117,253
+,2.0264,0,1,tcp,1040,-------,0,0.0,1.0,137,256
-,2.03104,0,1,tcp,1040,-------,0,0.0,1.0,121,224
r,2.03272,0,1,tcp,1040,-------,0,0.0,1.0,119,220
+,2.03272,1,0,ack,40,-------,0,1.0,0.0,119,257
-,2.03272,1,0,ack,40,-------,0,1.0,0.0,119,257
r,2.03472,1,0,ack,40,-------,0,1.0,0.0,118,255
+,2.03472,0,1,tcp,1040,-------,0,0.0,1.0,138,258
-,2.03936,0,1,tcp,1040,-------,0,0.0,1.0,122,226
r,2.04104,0,1,tcp,1040,-------,0,0.0,1.0,120,222
+,2.04104,1,0,ack,40,-------,0,1.0,0.0,120,259
-,2.04104,1,0,ack,40,-------,0,1.0,0.0,120,259
r,2.04304,1,0,ack,40,-------,0,1.0,0.0,119,257
+,2.04304,0,1,tcp,1040,-------,0,0.0,1.0,139,260
-,2.04768,0,1,tcp,1040,-------,0,0.0,1.0,123,228
r,2.04936,0,1,tcp,1040,-------,0,0.0,1.0,121,224
+,2.04936,1,0,ack,40,-------,0,1.0,0.0,121,261
-,2.04936,1,0,ack,40,-------,0,1.0,0.0,121,261
r,2.05136,1,0,ack,40,-------,0,1.0,0.0,120,259
+,2.05136,0,1,tcp,1040,-------,0,0.0,1.0,140,262
-,2.056,0,1,tcp,1040,-------,0,0.0,1.0,124,230
r,2.05768,0,1,tcp,1040,-------,0,0.0,1.0,122,226
+,2.05768,1,0,ack,40,-------,0,1.0,0.0,122,263
-,2.05768,1,0,ack,40,-------,0,1.0,0.0,122,263
r,2.05968,1,0,ack,40,-------,0,1.0,0.0,121,261
+,2.05968,0,1,tcp,1040,-------,0,0.0,1.0,141,264
-,2.06432,0,1,tcp,1040,-------,0,0.0,1.0,125,232
r,2.066,0,1,tcp,1040,-------,0,0.0,1.0,123,228
+,2.066,1,0,ack,40,-------,0,1.0,0.0,123,265
-,2.066,1,0,ack,40,-------,0,1.0,0.0,123,265
r,2.068,1,0,ack,40,-------,0,1.0,0.0,122,263
+,2.068,0,1,tcp,1040,-------,0,0.0,1.0,142,266
-,2.07264,0,1,tcp,1040,-------,0,0.0,1.0,126,234
r,2.07432,0,1,tcp,1040,-------,0,0.0,1.0,124,230
+,2.07432,1,0,ack,40,-------,0,1.0,0.0,124,267
-,2.07432,1,0,ack,40,-------,0,1.0,0.0,124,267
r,2.07632,1,0,ack,40,-------,0,1.0,0.0,123,265
+,2.07632,0,1,tcp,1040,-------,0,0.0,1.0,143,268
-,2.08096,0,1,tcp,1040,-------,0,0.0,1.0,127,236
r,2.08264,0,1,tcp,1040,-------,0,0.0,1.0,125,232
+,2.08264,1,0,ack,40,-------,0,1.0,0.0,125,269
-,2.08264,1,0,ack,40,-------,0,1.0,0.0,125,269
r,2.08464,1,0,ack,40,-------,0,1.0,0.0,124,267
+,2.08464,0,1,tcp,1040,-------,0,0.0,1.0,144,270
-,2.08928,0,1,tcp,1040,-------,0,0.0,1.0,128,238
r,2.09096,0,1,tcp,1040,-------,0,0.0,1.0,126,234
+,2.09096,1,0,ack,40,-------,0,1.0,0.0,126,271
-,2.09096,1,0,ack,40,-------,0,1.0,0.0,126,271
r,2.09296,1,0,ack,40,-------,0,1.0,0.0,125,269
+,2.09296,0,1,tcp,1040,-------,0,0.0,1.0,145,272
-,2.0976,0,1,tcp,1040,-------,0,0.0,1.0,129,240
r,2.09928,0,1,tcp,1040,-------,0,0.0,1.0,127,236
+,2.09928,1,0,ack,40,-------,0,1.0,0.0,127,273
-,2.09928,1,0,ack,40,-------,0,1.0,0.0,127,273
r,2.10128,1,0,ack,40,-------,0,1.0,0.0,126,271
+,2.10128,0,1,tcp,1040,-------,0,0.0,1.0,146,274
-,2.10592,0,1,tcp,1040,-------,0,0.0,1.0,130,242
r,2.1076,0,1,tcp,1040,-------,0,0.0,1.0,128,238
+,2.1076,1,0,ack,40,-------,0,1.0,0.0,128,275
-,2.1076,1,0,ack,40,-------,0,1.0,0.0,128,275
r,2.1096,1,0,ack,40,-------,0,1.0,0.0,127,273
+,2.1096,0,1,tcp,1040,-------,0,0.0,1.0,147,276
-,2.11424,0,1,tcp,1040,-------,0,0.0,1.0,131,244
r,2.11592,0,1,tcp,1040,-------,0,0.0,1.0,129,240
+,2.11592,1,0,ack,40,-------,0,1.0,0.0,129,277
-,2.11592,1,0,ack,40,-------,0,1.0,0.0,129,277
r,2.11792,1,0,ack,40,-------,0,1.0,0.0,128,275
+,2.11792,0,1,tcp,1040,-------,0,0.0,1.0,148,278
-,2.12256,0,1,tcp,1040,-------,0,0.0,1.0,132,246
r,2.12424,0,1,tcp,1040,-------,0,0.0,1.0,130,242
+,2.12424,1,0,ack,40,-------,0,1.0,0.0,130,279
-,2.12424,1,0,ack,40,-------,0,1.0,0.0,130,279
r,2.12624,1,0,ack,40,-------,0,1.0,0.0,129,277
+,2.12624,0,1,tcp,1040,-------,0,0.0,1.0,149,280
-,2.13088,0,1,tcp,1040,-------,0,0.0,1.0,133,248
r,2.13256,0,1,tcp,1040,-------,0,0.0,1.0,131,244
